"microarray"	"rnaseq"	"flag"
"Os01g0135800"	"Os01g0135800"	1
"Os01g0135900"	"Os01g0135900"	1
"Os01g0136000"	"Os01g0136000"	1
"Os01g0136100"	"Os01g0136100"	1
"Os01g0136200"	"Os01g0136200"	1
"Os01g0136300"	"Os01g0136300"	1
"Os01g0136400"	"Os01g0136400"	1
"Os01g0136500"	"Os01g0136500"	1
"Os01g0136600"	"Os01g0136600"	1
"Os01g0136700"	"Os01g0136700"	1
"Os01g0136800"	"Os01g0136800"	1
"Os01g0137000"	NA	3
"Os01g0137100"	NA	3
"Os01g0137200"	"Os01g0137250"	2
"Os01g0137300"	"Os01g0137300"	1
"Os01g0137400"	"Os01g0137300"	2
"Os01g0137500"	"Os01g0137500"	1
"Os01g0137700"	"Os01g0137700"	1
"Os01g0137800"	"Os01g0137800"	1
"Os01g0138100"	"Os01g0138100"	1
"Os01g0138300"	"Os01g0138300"	1
"Os01g0138400"	"Os01g0138400"	1
"Os01g0138500"	"Os01g0138500"	1
"Os01g0138600"	"Os01g0138600"	1
"Os01g0138800"	"Os01g0138800"	1
"Os01g0138900"	"Os01g0138900"	1
"Os01g0139000"	"Os01g0139000"	1
"Os01g0139100"	NA	3
"Os01g0139200"	"Os01g0139200"	1
"Os01g0139600"	"Os01g0139600"	1
"Os01g0139700"	"Os01g0139700"	1
"Os01g0139900"	"Os01g0139900"	1
"Os01g0140100"	"Os01g0140100"	1
"Os01g0140400"	"Os01g0140400"	1
"Os01g0140500"	"Os01g0140500"	1
"Os01g0141000"	"Os01g0141000"	1
"Os01g0141100"	"Os01g0141100"	1
"Os01g0141600"	"Os01g0141600"	1
"Os01g0141700"	"Os01g0141700"	1
"Os01g0141800"	NA	3
"Os01g0141900"	"Os01g0141900"	1
"Os01g0142000"	"Os01g0141900"	2
"Os01g0142100"	"Os01g0142100"	1
"Os01g0142200"	"Os01g0142200"	1
"Os01g0142300"	"Os01g0142300"	1
"Os01g0142500"	"Os01g0142500"	1
"Os01g0142600"	"Os01g0142600"	1
"Os01g0142800"	"Os01g0142800"	1
"Os01g0142900"	NA	3
"Os01g0143100"	"Os01g0143100"	1
"Os01g0143300"	"Os01g0143300"	1
"Os01g0143400"	"Os01g0143400"	1
"Os01g0143500"	NA	3
"Os01g0143700"	"Os01g0143700"	1
"Os01g0143800"	"Os01g0143800"	1
"Os01g0143900"	"Os01g0143900"	1
"Os01g0144000"	"Os01g0144000"	1
"Os01g0144100"	"Os01g0144100"	1
"Os01g0144200"	"Os01g0144200"	1
"Os01g0144300"	"Os01g0144300"	1
"Os01g0144600"	"Os01g0144600"	1
"Os01g0144700"	"Os01g0144700"	1
"Os01g0144800"	"Os01g0144800"	1
"Os01g0144900"	"Os01g0144900"	1
"Os01g0145200"	"Os01g0145200"	1
"Os01g0145600"	"Os01g0145600"	1
