microarray	rnaseq	flag
Os07g0535200	Os07g0535200	1
Os07g0542600	Os07g0542600	1
Os07g0549200	Os07g0549200	1
Os07g0556200	Os07g0556200	1
Os07g0563800	Os07g0563800	1
Os07g0583000	Os07g0583000	1
Os07g0589000	Os07g0589000	1
Os07g0590700	Os07g0590700	1
Os07g0598500	Os07g0598500	1
Os07g0600100	Os02g0223300	2
Os07g0605200	Os07g0605200	1
Os07g0619800	Os07g0619800	1
Os07g0623100	Os07g0623100	1
Os07g0636400	Os07g0636400	1
Os07g0645100	Os07g0645100	1
Os07g0648700	Os07g0648566	2
Os07g0661300	Os07g0661300	1
Os07g0663700	Os07g0663700	1
Os07g0669900	Os07g0669900	1
Os07g0680500	Os07g0680500	1
Os07g0681500	Os07g0681500	1
Os08g0102000	NA	3
Os08g0102700	Os08g0102700	1
Os08g0117300	Os08g0117300	1
Os08g0135300	Os08g0135300	1
Os08g0143900	Os08g0143900	1
Os08g0145600	Os08g0145600	1
Os08g0157500	Os08g0157500	1
Os08g0171700	Os08g0171700	1
Os08g0177300	Os08g0177300	1
Os08g0180300	Os08g0180300	1
Os08g0185300	Os08g0185300	1
Os08g0206600	Os08g0206600	1
Os08g0208400	Os08g0208400	1
Os08g0243500	Os08g0243500	1
Os08g0270400	Os08g0270400	1
Os08g0323600	Os08g0323600	1
Os08g0345400	Os08g0345400	1
Os08g0351300	Os08g0351300	1
Os08g0384100	Os08g0384100	1
Os08g0410200	NA	3
Os08g0411200	Os08g0411200	1
Os08g0425200	Os08g0425200	1
Os08g0460900	Os08g0460900	1
Os08g0476400	Os08g0476300	2
Os08g0478200	Os08g0478200	1
Os08g0482100	Os08g0482100	1
Os08g0482700	Os08g0482700	1
Os08g0484600	Os08g0484600	1
Os08g0486200	Os08g0486200	1
Os08g0509400	Os08g0509400	1
Os08g0510500	Os08g0510500	1
Os08g0523600	Os08g0523600	1
Os08g0542300	NA	3
Os08g0561800	Os08g0561800	1
Os08g0564800	Os08g0564800	1
Os09g0110400	Os09g0110400	1
Os09g0120800	Os09g0120800	1
Os09g0135400	Os09g0135400	1
Os09g0268300	Os09g0268300	1
Os09g0272200	Os09g0272200	1
Os09g0278900	Os09g0278900	1
Os09g0313500	Os09g0313500	1
Os09g0338400	Os09g0338400	1
Os09g0364500	Os09g0364500	1
Os09g0370200	Os09g0370200	1
Os09g0411700	Os09g0411700	1
Os09g0439600	Os09g0439600	1
Os09g0453100	Os09g0453100	1
Os09g0454100	Os09g0454100	1
Os09g0466900	Os09g0466900	1
Os09g0503100	Os09g0503100	1
Os09g0515200	Os09g0515200	1
Os09g0515300	Os09g0515300	1
Os09g0532700	Os09g0532700	1
Os09g0535900	Os09g0535900	1
Os09g0552300	Os09g0552300	1
Os09g0566100	Os09g0566100	1
Os09g0568900	Os09g0568900	1
Os09g0571200	Os09g0571100	2
Os10g0136500	Os10g0136500	1
Os10g0142600	NA	3
Os10g0170200	Os10g0170200	1
Os10g0180000	Os10g0180000	1
Os10g0188900	Os10g0188900	1
Os10g0190000	Os10g0190000	1
Os10g0213700	Os10g0213700	1
Os10g0316400	Os10g0316400	1
Os10g0392400	Os10g0392400	1
Os10g0396300	Os10g0396300	1
Os10g0430700	Os10g0430700	1
Os10g0447100	Os10g0447100	1
Os10g0462100	Os10g0462100	1
Os10g0462800	Os10g0462800	1
Os10g0469700	Os10g0469700	1
Os10g0476000	Os10g0476000	1
Os10g0484300	Os10g0484300	1
Os10g0488800	Os10g0488800	1
Os10g0501300	Os10g0501300	1
Os10g0504600	Os10g0504600	1
Os10g0521900	Os10g0521900	1
Os10g0522900	Os10g0522900	1
Os10g0529400	Os10g0529400	1
Os10g0533100	Os10g0533100	1
Os10g0548200	Os10g0548200	1
Os10g0548400	Os10g0548400	1
Os11g0102600	Os11g0102600	1
Os11g0102700	Os12g0102350	2
Os11g0103000	Os12g0102600	2
Os11g0114700	Os11g0114700	1
Os11g0115400	Os11g0115400	1
Os11g0116400	Os11g0116400	1
Os11g0129600	Os11g0129600	1
Os11g0130100	Os11g0130100	1
Os11g0141800	Os11g0141800	1
Os11g0143300	Os11g0143300	1
Os11g0239600	Os11g0239500	2
Os11g0252400	Os11g0252400	1
Os11g0264600	Os11g0264600	1
Os11g0433500	Os11g0433500	1
Os11g0433600	Os11g0433600	1
Os11g0434000	Os11g0434000	1
Os11g0438400	Os11g0438400	1
Os11g0448400	Os11g0448400	1
Os11g0482400	Os11g0482400	1
Os11g0505200	Os11g0505300	2
Os11g0507200	Os11g0507200	1
Os11g0533800	Os11g0533800	1
Os11g0582700	Os11g0582700	1
Os11g0648100	Os11g0648100	1
Os11g0661200	Os11g0661200	1
Os12g0112600	Os12g0112600	1
Os12g0112800	Os12g0112800	1
Os12g0113500	Os12g0113500	1
Os12g0115300	Os12g0115300	1
Os12g0118700	Os12g0118700	1
Os12g0123500	Os12g0123500	1
Os12g0131100	Os12g0131100	1
Os12g0136900	Os11g0140400	2
Os12g0197600	Os12g0197600	1
Os12g0228900	Os12g0228900	1
Os12g0230100	Os12g0230100	1
Os12g0233500	Os12g0233500	1
Os12g0241000	Os12g0241100	2
Os12g0266000	Os12g0266000	1
Os12g0291100	Os12g0291100	1
Os12g0425800	Os12g0425800	1
Os12g0480100	Os12g0480100	1
Os12g0548200	Os12g0548200	1
Os12g0560600	Os12g0560600	1
Os12g0563200	Os12g0563200	1
Os12g0583300	Os12g0583300	1
Os12g0615800	Os12g0615800	1
Os12g0626100	Os12g0626100	1
Os12g0637300	Os12g0637300	1
Os12g0639800	Os12g0639800	1
		24
