pos,lib.grp,name,index
G22,OsTM0_3,T1052,184
I22,OsTM0_3,T1053,185
K22,OsTM0_3,T1054,186
M22,OsTM0_3,T1055,187
O22,OsTM0_3,T1056,188
A3,OsTM0_4,T1057,9
C3,OsTM0_4,T1058,10
E3,OsTM0_4,T1059,11
G3,OsTM0_4,T1060,12
I3,OsTM0_4,T1061,13
K3,OsTM0_4,T1062,14
M3,OsTM0_4,T1063,15
O3,OsTM0_4,T1064,16
A5,OsTM0_4,T1065,17
C5,OsTM0_4,T1066,18
E5,OsTM0_4,T1067,19
G5,OsTM0_4,T1068,20
I5,OsTM0_4,T1069,21
K5,OsTM0_4,T1070,22
M5,OsTM0_4,T1071,23
O5,OsTM0_4,T1072,24
A7,OsTM0_4,T1073,25
C7,OsTM0_4,T1074,26
E7,OsTM0_4,T1075,27
G7,OsTM0_4,T1076,28
I7,OsTM0_4,T1077,29
K7,OsTM0_4,T1078,30
M7,OsTM0_4,T1079,31
O7,OsTM0_4,T1080,32
A9,OsTM0_4,T1081,33
C9,OsTM0_4,T1082,34
E9,OsTM0_4,T1083,35
G9,OsTM0_4,T1084,36
I9,OsTM0_4,T1085,37
K9,OsTM0_4,T1086,38
M9,OsTM0_4,T1087,39
O9,OsTM0_4,T1088,40
A11,OsTM0_4,T1089,41
C11,OsTM0_4,T1090,42
E11,OsTM0_4,T1091,43
G11,OsTM0_4,T1092,44
I11,OsTM0_4,T1093,45
K11,OsTM0_4,T1094,46
M11,OsTM0_4,T1095,47
O11,OsTM0_4,T1096,48
A13,OsTM0_4,T1097,49
C13,OsTM0_4,T1098,100
E13,OsTM0_4,T1099,51
G13,OsTM0_4,T1100,52
I13,OsTM0_4,T1101,53
K13,OsTM0_4,T1102,54
M13,OsTM0_4,T1103,55
O13,OsTM0_4,T1104,56
A15,OsTM0_4,T1105,57
C15,OsTM0_4,T1106,58
E15,OsTM0_4,T1107,59
G15,OsTM0_4,T1108,60
I15,OsTM0_4,T1109,61
K15,OsTM0_4,T1110,62
M15,OsTM0_4,T1111,63
O15,OsTM0_4,T1112,64
A17,OsTM0_4,T1113,65
C17,OsTM0_4,T1114,66
E17,OsTM0_4,T1115,67
G17,OsTM0_4,T1116,68
I17,OsTM0_4,T1117,69
K17,OsTM0_4,T1118,70
M17,OsTM0_4,T1119,71
O17,OsTM0_4,T1120,72
A19,OsTM0_4,T1121,73
C19,OsTM0_4,T1122,74
E19,OsTM0_4,T1123,75
G19,OsTM0_4,T1124,76
I19,OsTM0_4,T1125,77
K19,OsTM0_4,T1126,78
M19,OsTM0_4,T1127,79
O19,OsTM0_4,T1128,80
A21,OsTM0_4,T1129,81
C21,OsTM0_4,T1130,82
E21,OsTM0_4,T1131,83
G21,OsTM0_4,T1132,84
I21,OsTM0_4,T1133,85
K21,OsTM0_4,T1134,86
M21,OsTM0_4,T1135,87
O21,OsTM0_4,T1136,88
A4,OsTM0_4,T1137,109
C4,OsTM0_4,T1138,110
E4,OsTM0_4,T1139,111
G4,OsTM0_4,T1140,112
I4,OsTM0_4,T1141,113
K4,OsTM0_4,T1142,114
M4,OsTM0_4,T1143,115
O4,OsTM0_4,T1144,116
A6,OsTM0_4,T1145,117
C6,OsTM0_4,T1146,118
E6,OsTM0_4,T1147,119
G6,OsTM0_4,T1148,120
I6,OsTM0_4,T1149,121
K6,OsTM0_4,T1150,122
M6,OsTM0_4,T1151,123
O6,OsTM0_4,T1152,124
A8,OsTM0_4,T1153,125
C8,OsTM0_4,T1154,126
E8,OsTM0_4,T1155,127
G8,OsTM0_4,T1156,128
I8,OsTM0_4,T1157,129
K8,OsTM0_4,T1158,130
M8,OsTM0_4,T1159,131
O8,OsTM0_4,T1160,132
A10,OsTM0_4,T1161,133
C10,OsTM0_4,T1162,134
E10,OsTM0_4,T1163,135
G10,OsTM0_4,T1164,136
I10,OsTM0_4,T1165,137
K10,OsTM0_4,T1166,138
M10,OsTM0_4,T1167,139
O10,OsTM0_4,T1168,140
A12,OsTM0_4,T1,141
C12,OsTM0_4,T2,142
E12,OsTM0_4,T3,143
G12,OsTM0_4,T4,144
I12,OsTM0_4,T5,145
K12,OsTM0_4,T6,146
M12,OsTM0_4,T7,147
O12,OsTM0_4,T8,148
A14,OsTM0_4,T9,149
C14,OsTM0_4,T10,150
E14,OsTM0_4,T11,151
G14,OsTM0_4,T12,152
I14,OsTM0_4,T13,153
K14,OsTM0_4,T14,154
M14,OsTM0_4,T15,155
O14,OsTM0_4,T16,156
A16,OsTM0_4,T17,157
C16,OsTM0_4,T18,158
E16,OsTM0_4,T19,159
G16,OsTM0_4,T20,160
I16,OsTM0_4,T21,161
K16,OsTM0_4,T22,162
M16,OsTM0_4,T23,163
O16,OsTM0_4,T24,164
A18,OsTM0_4,T25,165
C18,OsTM0_4,T26,166
E18,OsTM0_4,T27,167
G18,OsTM0_4,T28,168
I18,OsTM0_4,T29,169
K18,OsTM0_4,T30,170
M18,OsTM0_4,T31,171
O18,OsTM0_4,T32,172
A20,OsTM0_4,T33,173
C20,OsTM0_4,T34,174
E20,OsTM0_4,T35,175
G20,OsTM0_4,T36,176
I20,OsTM0_4,T37,177
K20,OsTM0_4,T38,178
M20,OsTM0_4,T39,179
O20,OsTM0_4,T40,180
A22,OsTM0_4,T41,181
C22,OsTM0_4,T42,182
E22,OsTM0_4,T43,183
G22,OsTM0_4,T44,184
I22,OsTM0_4,T45,185
K22,OsTM0_4,T46,186
M22,OsTM0_4,T47,187
O22,OsTM0_4,T48,188
A3,OsTM0_5,T49,9
C3,OsTM0_5,T50,10
E3,OsTM0_5,T51,11
G3,OsTM0_5,T52,12
I3,OsTM0_5,T53,13
K3,OsTM0_5,T54,14
M3,OsTM0_5,T55,15
O3,OsTM0_5,T56,16
A5,OsTM0_5,T57,17
C5,OsTM0_5,T58,18
E5,OsTM0_5,T59,19
G5,OsTM0_5,T60,20
I5,OsTM0_5,T61,21
K5,OsTM0_5,T62,22
M5,OsTM0_5,T63,23
O5,OsTM0_5,T64,24
A7,OsTM0_5,T65,25
C7,OsTM0_5,T66,26
E7,OsTM0_5,T67,27
G7,OsTM0_5,T68,28
I7,OsTM0_5,T69,29
K7,OsTM0_5,T70,30
M7,OsTM0_5,T71,31
O7,OsTM0_5,T72,32
A9,OsTM0_5,T73,33
C9,OsTM0_5,T74,34
E9,OsTM0_5,T75,35
G9,OsTM0_5,T76,36
I9,OsTM0_5,T77,37
K9,OsTM0_5,T78,38
M9,OsTM0_5,T79,39
O9,OsTM0_5,T80,40
A11,OsTM0_5,T81,41
C11,OsTM0_5,T82,42
E11,OsTM0_5,T83,43
G11,OsTM0_5,T84,44
I11,OsTM0_5,T85,45
K11,OsTM0_5,T86,46
M11,OsTM0_5,T87,47
O11,OsTM0_5,T88,48
A13,OsTM0_5,T89,49
C13,OsTM0_5,T90,100
E13,OsTM0_5,T91,51
G13,OsTM0_5,T92,52
I13,OsTM0_5,T93,53
K13,OsTM0_5,T94,54
M13,OsTM0_5,T95,55
O13,OsTM0_5,T96,56
A15,OsTM0_5,T97,57
C15,OsTM0_5,T98,58
E15,OsTM0_5,T99,59
G15,OsTM0_5,T100,60
I15,OsTM0_5,T101,61
K15,OsTM0_5,T102,62
